File_Name	Claim_Date	Deduction_Date	ClaimNbr	Manufacturer_Nbr	Manufacturer	Broker	Explanation	Invoice_Total
L42800.pdf	7/1/2021	8/30/2021	L42800	10215	KRAFT	KRAFT MAILDROP	EDLP ALLOWANCE	612.25
L42801.pdf	7/1/2021	8/30/2021	L42801	10215	KRAFT	KRAFT MAILDROP	EDLP ALLOWANCE	6238.1
L42802.pdf	7/1/2021	8/30/2021	L42802	10215	KRAFT	KRAFT MAILDROP	EDLP ALLOWANCE	2555.95
L42803.pdf	7/1/2021	8/30/2021	L42803	10215	KRAFT	KRAFT MAILDROP	EDLP ALLOWANCE	12661.7
L42804.pdf	7/1/2021	8/30/2021	L42804	10215	KRAFT	KRAFT MAILDROP	PRICE DIFFERENCE	1243.12
L42805.pdf	7/1/2021	8/30/2021	L42805	10215	KRAFT	KRAFT MAILDROP	PRICE DIFFERENCE	2164.8
L42806.pdf	7/1/2024	8/30/2021	L42806	10215	KRAFT	KRAFT MAILDROP	PRICE DIFFERENCE	8090.84
L42807.pdf	7/1/2021	8/30/2021	L42807	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	354.2
L42808.pdf	7/1/2021	8/30/2021	L42808	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	1836
L42809.pdf	7/1/2021	8/30/2021	L42809	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	9795.24
L42810.pdf	7/1/2021	8/30/2021	L42810	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	10861.35
L42811.pdf	7/1/2021	8/30/2021	L42811	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	295.26
L42812.pdf	7/1/2021	8/30/2021	L42812	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	4937.8
L42813.pdf	7/1/2021	8/30/2021	L42813	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	2304.72
L42814.pdf	7/1/2021	8/30/2021	L42814	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	346.84
L42815.pdf	7/1/2021	8/30/2021	L42815	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	1801.1
L42816.pdf	7/1/2021	8/30/2021	L42816	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	4182
L42817.pdf	7/1/2021	8/30/2021	L42817	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	21914.1
L42818.pdf	7/1/2021	8/30/2021	L42818	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	10824.3
L42819.pdf	7/1/2021	8/30/2021	L42819	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	242.5
L42820.pdf	7/1/2021	8/30/2021	L42820	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	6395
L42821.pdf	7/1/2021	8/30/2021	L42821	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	3481.02
L42822.pdf	7/1/2021	8/30/2021	L42822	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	1178.4
L42823.pdf	7/1/2021	8/30/2021	L42823	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	5941.15
L42824.pdf	7/1/2021	8/30/2021	L42824	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	1207.25
L42825.pdf	7/1/2021	8/30/2021	L42825	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	1648.32
L42826.pdf	7/1/2021	8/30/2021	L42826	10215	KRAFT	KRAFT MAILDROP	PER CASE BIILBACK	2257.6
L42827.pdf	7/1/2021	8/30/2021	L42827	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	299.7
L42828.pdf	7/1/2021	8/30/2021	L42828	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	418.5
L42829.pdf	7/1/2021	8/30/2021	L42829	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	6110.4
L42830.pdf	7/1/2021	8/30/2021	L42830	10215	KRAFT	KRAFT MAILDROP	PER CASE BILLBACK	144.1
L42831.pdf	7/1/2021	8/30/2021	L42831	10215	KRAFT	KRAFT MAILDROP	NET UNIT COST DIFFERENCE	1843.44
L42832.pdf	7/1/2021	8/30/2021	L42832	10215	KRAFT	KRAFT MAILDROP	LUMP SUM BILLBACK	2000
L42833.pdf	7/1/2021	8/30/2021	L42833	10215	KRAFT	KRAFT MAILDROP	LUMP SUM BILLBACK	5000
L42834.pdf	7/1/2021	8/30/2021	L42834	20012	KRAFT HEINZ FOOD COMPANY	None	PER CASE BILLBACK	480
L42835.pdf	7/1/2021	8/30/2021	L42835	20012	KRAFT HEINZ FOOD COMPANY	None	PER CASE BILLBACK	1310
L42836.pdf	7/1/2021	8/30/2021	L42836	20012	KRAFT HEINZ FOOD COMPANY	None	PER CASE BILLBACK	844
L42837.pdf	7/1/2021	8/30/2021	L42837	20012	KRAFT HEINZ FOOD COMPANY	None	PER CASE BILLBACK	801
L42838.pdf	7/1/2021	8/30/2021	L42838	20012	KRAFT HEINZ FOOD COMPANY	None	PER CASE BILLBACK	1168
L42839.pdf	7/1/2021	8/30/2021	L42839	20012	KRAFT HEINZ FOOD COMPANY	None	SCAN BILLBACK	274
L42840.pdf	7/1/2021	8/30/2021	L42840	20012	KRAFT HEINZ FOOD COMPANY	None	SCAN BILLBACK	324.64
L42841.pdf	7/1/2021	8/30/2021	L42841	20012	KRAFT HEINZ FOOD COMPANY	None	SCAN BILLBACK	324.64
